drugbank_id	drugbank_name	pubchem_id	stitch_id_flat	umls_cui_from_label	method	concept_name	meddra_type	umls_cui_from_meddra	meddra_name
DB00014	Goserelin	47725	CID100047725	C0002871	text_mention	Anemia	PT	C0002871	Anemia
DB00014	Goserelin	47725	CID100047725	C0006142	NLP_indication	Malignant neoplasm of breast	PT	C0006142	Malignant neoplasm of breast
DB00014	Goserelin	47725	CID100047725	C0006826	NLP_precondition	Malignant Neoplasms	PT	C0006826	Malignant Neoplasms
DB00014	Goserelin	47725	CID100047725	C0014175	NLP_indication	Endometriosis	PT	C0014175	Endometriosis
DB00014	Goserelin	47725	CID100047725	C0025323	text_mention	Menorrhagia	PT	C0025323	Menorrhagia
DB00014	Goserelin	47725	CID100047725	C0025874	NLP_precondition	Metrorrhagia	PT	C0025874	Metrorrhagia
DB00014	Goserelin	47725	CID100047725	C0027627	text_mention	Neoplasm Metastasis	PT	C0027627	Neoplasm Metastasis
DB00014	Goserelin	47725	CID100047725	C0030193	NLP_indication	Pain	PT	C0030193	Pain
DB00014	Goserelin	47725	CID100047725	C0042133	text_mention	Uterine Fibroids	PT	C0042133	Uterine Fibroids
DB00014	Goserelin	47725	CID100047725	C0153690	NLP_precondition	Bone cancer metastatic	PT	C0153690	Bone cancer metastatic
DB00014	Goserelin	47725	CID100047725	C0178879	NLP_precondition	Urinary tract obstruction	PT	C0178879	Urinary tract obstruction
DB00014	Goserelin	47725	CID100047725	C0376358	NLP_indication	Malignant neoplasm of prostate	PT	C0376358	Malignant neoplasm of prostate
DB00014	Goserelin	47725	CID100047725	C0600139	NLP_indication	Prostate carcinoma	PT	C0376358	Malignant neoplasm of prostate
DB00014	Goserelin	47725	CID100047725	C3495917	NLP_indication	Advanced breast cancer	PT	C0006142	Malignant neoplasm of breast
DB00035	Desmopressin	27991	CID100027991	C0008533	NLP_indication	Hemophilia B	PT	C0008533	Hemophilia B
DB00035	Desmopressin	27991	CID100027991	C0011848	NLP_precondition	Diabetes Insipidus	PT	C0011848	Diabetes Insipidus
DB00035	Desmopressin	27991	CID100027991	C0012797	text_mention	Diuresis	PT	C0032617	Polyuria
DB00035	Desmopressin	27991	CID100027991	C0014394	text_mention	Enuresis	PT	C0014394	Enuresis
DB00035	Desmopressin	27991	CID100027991	C0018674	NLP_indication	Craniocerebral Trauma	PT	C0018674	Craniocerebral Trauma
DB00035	Desmopressin	27991	CID100027991	C0018924	text_mention	Hemarthrosis	PT	C0018924	Hemarthrosis
DB00035	Desmopressin	27991	CID100027991	C0019069	NLP_indication	Hemophilia A	PT	C0019069	Hemophilia A
DB00035	Desmopressin	27991	CID100027991	C0019080	text_mention	Hemorrhage	PT	C0019080	Hemorrhage
DB00035	Desmopressin	27991	CID100027991	C0019080	text_mention	Hemorrhage	PT	C0518015	Hemoglobin measurement
DB00035	Desmopressin	27991	CID100027991	C0025323	text_mention	Menorrhagia	PT	C0025323	Menorrhagia
DB00035	Desmopressin	27991	CID100027991	C0027424	text_mention	Nasal congestion (finding)	PT	C0027424	Nasal congestion (finding)
DB00035	Desmopressin	27991	CID100027991	C0028734	NLP_indication	Nocturia	PT	C0028734	Nocturia
DB00035	Desmopressin	27991	CID100027991	C0032617	NLP_indication	Polyuria	PT	C0032617	Polyuria
DB00035	Desmopressin	27991	CID100027991	C0032617	NLP_indication	Polyuria	PT	C1167965	Urine output increased
DB00035	Desmopressin	27991	CID100027991	C0035459	text_mention	Rhinitis, Atrophic	PT	C0035459	Rhinitis, Atrophic
DB00035	Desmopressin	27991	CID100027991	C0042023	text_mention	Increased frequency of micturition	PT	C0042023	Increased frequency of micturition
DB00035	Desmopressin	27991	CID100027991	C0042974	NLP_indication	von Willebrand Disease	PT	C0042974	von Willebrand Disease
DB00035	Desmopressin	27991	CID100027991	C0043251	text_mention	Wounds and Injuries	PT	C3263723	Traumatic injury
DB00035	Desmopressin	27991	CID100027991	C0085602	NLP_indication	Polydipsia	PT	C0085602	Polydipsia
DB00035	Desmopressin	27991	CID100027991	C0162283	NLP_indication	Nephrogenic Diabetes Insipidus	PT	C0162283	Nephrogenic Diabetes Insipidus
DB00035	Desmopressin	27991	CID100027991	C0240412	text_mention	Muscle hematoma	PT	C0151702	Muscle hemorrhage
DB00035	Desmopressin	27991	CID100027991	C0270327	NLP_indication	Bedwetting	PT	C0014394	Enuresis
DB00035	Desmopressin	27991	CID100027991	C0549376	text_mention	Plasma osmolality decreased	PT	C0853755	Blood osmolarity decreased
DB00035	Desmopressin	27991	CID100027991	C0687720	NLP_indication	Central Diabetes Insipidus	PT	C0011848	Diabetes Insipidus
DB00035	Desmopressin	27991	CID100027991	C0848232	NLP_indication	Nocturnal polyuria	PT	C0028734	Nocturia
DB00035	Desmopressin	27991	CID100027991	C0919923	text_mention	Nasal mucosa atrophy	PT	C0919923	Nasal mucosa atrophy
DB00035	Desmopressin	27991	CID100027991	C1260880	text_mention	Rhinorrhea	PT	C1260880	Rhinorrhea
DB00035	Desmopressin	27991	CID100027991	C1260880	text_mention	Rhinorrhea	PT	C0027441	Nasopharyngitis
DB00035	Desmopressin	27991	CID100027991	C2228139	NLP_indication	Primary nocturnal enuresis	PT	C0014394	Enuresis
DB00035	Desmopressin	27991	CID100027991	C2748540	text_mention	Mucosal bleeding	PT	C0854375	Mucosal haemorrhage
DB00035	Desmopressin	27991	CID100027991	C3263723	text_mention	Traumatic injury	PT	C3263723	Traumatic injury
DB00050	Cetrorelix	25074886	CID125074886	C0025320	NLP_indication	Menopause	PT	C0025320	Menopause
DB00050	Cetrorelix	25074886	CID125074886	C1140680	NLP_precondition	Malignant neoplasm of ovary	PT	C1140680	Malignant neoplasm of ovary
DB00091	Cyclosporine	2909	CID100002909	C0003873	NLP_indication	Rheumatoid Arthritis	PT	C0003864	Arthritis
DB00091	Cyclosporine	2909	CID100002909	C0003873	NLP_indication	Rheumatoid Arthritis	PT	C0003873	Rheumatoid Arthritis
DB00091	Cyclosporine	2909	CID100002909	C0011615	NLP_indication	Dermatitis, Atopic	PT	C0011615	Dermatitis, Atopic
DB00091	Cyclosporine	2909	CID100002909	C0017665	text_mention	Membranous glomerulonephritis	PT	C0017665	Membranous glomerulonephritis
