umls_cui_from_meddra	side_effect_name
C0001231	ACTH Syndrome, Ectopic
C0863129	AGEP
C0001849	AIDS Dementia Complex
C0078911	AIDS-Associated Nephropathy
C1740832	AML progression
C1610080	ANA increased
C0877217	Abasia
C0000731	Abdomen distended
C0000727	Abdomen, Acute
C0243001	Abdominal Abscess
C0000729	Abdominal Cramps
C0000735	Abdominal Neoplasms
C0000737	Abdominal Pain
C0549357	Abdominal adhesions
C0425669	Abdominal aortic bruit
C1291077	Abdominal bloating
C0232488	Abdominal colic
C0232487	Abdominal discomfort
C1290864	Abdominal disorder
C0235698	Abdominal distension gaseous
C0235295	Abdominal distress
C0549273	Abdominal pain aggravated
C0344304	Abdominal pain generalised
C0522061	Abdominal pain localised
C0232495	Abdominal pain lower
C0232492	Abdominal pain upper
C0159066	Abdominal rigidity
C1141926	Abdominal sepsis
C0948733	Abdominal spasm
C0948610	Abdominal strangulated hernia
C0740651	Abdominal symptom
C0232498	Abdominal tenderness
C0263105	Abdominal wall abscess
C0271355	Abducens Nerve Diseases
C0233514	Abnormal behavior
C0159060	Abnormal bowel sounds
C0231856	Abnormal breath sounds
C0159056	Abnormal chest sounds
C0877331	Abnormal clotting factor
C0520966	Abnormal coordination
C0232459	Abnormal digestive tract function
C0234458	Abnormal dreams
C2937350	Abnormal ejaculation
C0497202	Abnormal eye movement
C0162287	Abnormal faeces
C0349705	Abnormal hemoglobin finding
C0392702	Abnormal involuntary movements
C0278061	Abnormal mental state
C1260926	Abnormal pigmentation
C0151854	Abnormal platelets
C0497201	Abnormal sensation in eye
C0855246	Abnormal sleep-related event
C3665386	Abnormal vision
C2609183	Abnormal withdrawal bleeding
C0157733	Abnormalities of the hair
C0391870	Abnormality of red blood cells
C0000817	Abortion, Septic
C1302752	Abrasion
C0000832	Abruptio Placentae
C0000833	Abscess
C0578455	Abscess limb
C0014553	Absence Epilepsy
C0278134	Absence of sensation
C0234146	Absent reflex
C1168174	Absolute neutrophil count decreased
C0267841	Acalculous Cholecystitis
C0000889	Acanthosis Nigricans
C1504343	Acarodermatitis
C0856677	Accelerated hair loss
C0266011	Accessory nipple
C0521208	Accident while engaged in household activity
C3544060	Accidental exposure to product
C0857807	Accidental ingestion
C0151736	Accidental injury
C0151821	Accidental overdose
C0000924	Accidents
C0152198	Accommodation disorder
C1260871	Acetonemia
C0234238	Ache
C0221785	Ache wrists
C0948198	Acholia
C0262977	Achromia of skin
C0151848	Acid phosphatase high
C0268030	Acidemia
C0001122	Acidosis
C0085569	Acidosis hyperchloraemic
C0001125	Acidosis, Lactic
C0001127	Acidosis, Respiratory
C0702166	Acne
C0001144	Acne Vulgaris
C0010666	Acne cystic
C0263445	Acne fulminans
C0263437	Acne infantile
C0263443	Acne pustular
C0175167	Acneiform Eruptions
C0001175	Acquired Immunodeficiency Syndrome
C0404445	Acquired atrophy of ovary
C0410740	Acquired deformity of finger
C1096116	Acquired haemophilia
C0263386	Acquired ichthyosis
C0022581	Acquired keratoderma
C3665770	Acquired lipoatrophic diabetes
C1384597	Acquired megacolon
C0152202	Acquired night blindness
C0239343	Acral erythema
C0001198	Acrodynia
C0001206	Acromegaly
C0022602	Actinic keratosis
C0234376	Action Tremor
C1868709	Activation syndrome
C2364164	Actual Impaired Fluid Volume
C2364111	Actual Inability To Taste
C2712122	Actual Positive Blood Pressure
C2712054	Actual Resting Dyspnea
C0948089	Acute Coronary Syndrome
